forecast_issue_time,forecast_state_date,lake_id,basin,variable,depth_m,unit,target_name,target_window_start,target_window_end,predicted_mean_temperature,target_climatology_mean,current_anomaly,model_identifier,model_version,anomaly_coefficient,coefficient_fitted,is_valid_forecast,n_valid_target_training_years,target_training_years,target_training_windows_sha256,recent_window_start,recent_window_end,recent_valid_days,recent_30_day_mean,recent_window_climatology,n_valid_recent_training_years,recent_training_years,availability_mode,availability_assumption,observed_mean_temperature,observed_valid_days,climatology_forecast,anomaly_persistence_forecast,climatology_error,anomaly_persistence_error,future_target_anomaly,issue_month,issue_season,anomaly_identity_check
2011-01-04T00:00:00+00:00,2011-01-03,windermere,south,water_temperature,2.0,degC,month_1,2011-01-04,2011-02-02,3.819143889441314,4.784244548148148,-0.9651006587068345,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,668fdeea83528974d4ebdc7100760a563cb4c34dcc29bde9716ba7cc1074d46c,2010-12-05,2011-01-03,30,5.074716790277778,6.039817448984612,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,3.7949774430555556,30,4.784244548148148,3.819143889441314,0.9892671050925927,0.024166446385758267,-0.9892671050925927,1,DJF,0.0
2011-01-04T00:00:00+00:00,2011-01-03,windermere,south,water_temperature,2.0,degC,month_2,2011-02-03,2011-03-04,3.2584218875894617,4.223522546296296,-0.9651006587068345,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,e518166ace248503163521e96051d15cd113551573dc0d4836a67dae150d3c34,2010-12-05,2011-01-03,30,5.074716790277778,6.039817448984612,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,4.512180451388889,30,4.223522546296296,3.2584218875894617,-0.2886579050925926,-1.253758563799427,0.2886579050925926,1,DJF,0.0
2011-01-04T00:00:00+00:00,2011-01-03,windermere,south,water_temperature,2.0,degC,month_3,2011-03-05,2011-04-03,4.1301993412931655,5.0953,-0.9651006587068345,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,9aaf1b6f752ca65ac01a61a58f7d895a8db16c092076b21cd28405f9c33d0b82,2010-12-05,2011-01-03,30,5.074716790277778,6.039817448984612,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,5.835689869444445,30,5.0953,4.1301993412931655,-0.7403898694444448,-1.7054905281512793,0.7403898694444448,1,DJF,0.0
2011-02-01T00:00:00+00:00,2011-01-31,windermere,south,water_temperature,2.0,degC,month_1,2011-02-01,2011-03-02,3.174138958333333,4.235452268518518,-1.0613133101851853,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,564cac7d7fd35b41253ee843636bcd94c432e49dadf20d21f47a4606f7b6bcfe,2011-01-02,2011-01-31,30,3.794302441666667,4.855615751851852,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,4.436145622222222,30,4.235452268518518,3.174138958333333,-0.2006933537037039,-1.2620066638888892,0.2006933537037039,2,DJF,0.0
2011-02-01T00:00:00+00:00,2011-01-31,windermere,south,water_temperature,2.0,degC,month_2,2011-03-03,2011-04-01,3.9082650231481484,4.969578333333334,-1.0613133101851853,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,eb0357aaa785ade313ec88b00f241c19e3752441c7c65f1137c9238cdbd88ddb,2011-01-02,2011-01-31,30,3.794302441666667,4.855615751851852,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,5.7265061,30,4.969578333333334,3.9082650231481484,-0.7569277666666663,-1.8182410768518515,0.7569277666666663,2,DJF,0.0
2011-02-08T00:00:00+00:00,2011-02-07,windermere,south,water_temperature,2.0,degC,month_1,2011-02-08,2011-03-09,3.421817199074074,4.2254,-0.8035828009259256,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,989d09d994a5454bb3b17370a0e3dbcfaa866e634cfe11a9c01e62431c6043f1,2011-01-09,2011-02-07,30,3.8356824305555555,4.639265231481481,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,4.661042541666666,30,4.2254,3.421817199074074,-0.4356425416666667,-1.2392253425925923,0.4356425416666667,2,DJF,0.0
2011-02-08T00:00:00+00:00,2011-02-07,windermere,south,water_temperature,2.0,degC,month_2,2011-03-10,2011-04-08,4.605025115740741,5.408607916666667,-0.8035828009259256,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,b70e22b76f70b7b28576bf6b8426cefcb43d3e29307200fcbc0419aebc17c38d,2011-01-09,2011-02-07,30,3.8356824305555555,4.639265231481481,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,6.228624484722222,30,5.408607916666667,4.605025115740741,-0.8200165680555553,-1.6235993689814814,0.8200165680555553,2,DJF,-4.440892098500626e-16
2011-02-15T00:00:00+00:00,2011-02-14,windermere,south,water_temperature,2.0,degC,month_1,2011-02-15,2011-03-16,3.8297689800925934,4.32269425925926,-0.4929252791666663,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,f9ad2c26691c822f2d17d7ddd09eac0a261ac17e46d000d51ceba97be740d591,2011-01-16,2011-02-14,30,4.011510415277778,4.504435694444444,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,4.807925629166666,30,4.32269425925926,3.8297689800925934,-0.4852313699074067,-0.978156649074073,0.4852313699074067,2,DJF,0.0
2011-02-15T00:00:00+00:00,2011-02-14,windermere,south,water_temperature,2.0,degC,month_2,2011-03-17,2011-04-15,5.519138748611112,6.012064027777778,-0.4929252791666663,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,b55cc65b684229a246912aec11725a12e1be863bd7253af96efce05fb3ed333e,2011-01-16,2011-02-14,30,4.011510415277778,4.504435694444444,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,7.270459294444445,30,6.012064027777778,5.519138748611112,-1.2583952666666667,-1.751320545833333,1.2583952666666667,2,DJF,0.0
2011-02-22T00:00:00+00:00,2011-02-21,windermere,south,water_temperature,2.0,degC,month_1,2011-02-22,2011-03-23,4.370559018518518,4.582329722222222,-0.21177070370370377,full_anomaly_persistence,1.0,1.0,False,True,3,2008|2009|2010,c1704b61238ba9721cb7f7ac61ab62114cd79de8221184ee30569d88e176d1dc,2011-01-23,2011-02-21,30,4.160586333333334,4.3723570370370375,3,2008|2009|2010,observation_time_proxy,historical data_available_time is unknown; observation_time is a pseudo-operational proxy,5.0669552569444445,30,4.582329722222222,4.370559018518518,-0.48462553472222236,-0.6963962384259261,0.48462553472222236,2,DJF,0.0
